========================================================================
TOKENIZATION OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total sentences : 4,962
Total tokens    : 130,002
[S02203] [POSITIVE]  The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .
[S02204] [POSITIVE]  The actions are expected to deliver annual cost savings of some EUR15-20m .
[S02205] [NEUTRAL ]  The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .
[S02206] [NEUTRAL ]  The amendment will not incur additional costs .
[S02207] [POSITIVE]  The announced restructuring will significantly decrease the Company 's indebtedness .
[S02208] [POSITIVE]  The companies expect the first orders already in 2011 .
[S02209] [POSITIVE]  The company also expects to sell its products in other Russian region .
[S02210] [NEUTRAL ]  The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .
[S02211] [NEUTRAL ]  The company closed last year with a turnover of about four million euros .
[S02212] [NEUTRAL ]  The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .
[S02213] [NEUTRAL ]  The company expects sales revenue of RMB8 .0 billion in 2009 .
[S02214] [POSITIVE]  The company feels these leases are prime locations due to several producing formations in the immediate area .
[S02215] [NEUTRAL ]  The company has exported into about twenty European countries as well as to Africa .
[S02216] [POSITIVE]  The company is well positioned in Brazil and Uruguay .
[S02217] [POSITIVE]  The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .
[S02218] [NEUTRAL ]  The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .
[S02219] [NEUTRAL ]  The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .
[S02220] [NEUTRAL ]  The company 's profit totaled Ls 134,700 .
[S02221] [NEUTRAL ]  The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .
[S02222] [POSITIVE]  The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .
[S02223] [NEUTRAL ]  The company will build altogether 130 new substations by the end of this year .
[S02224] [POSITIVE]  The diesel margin has remained high .
[S02225] [POSITIVE]  The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .
[S02226] [POSITIVE]  The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .
[S02227] [NEUTRAL ]  The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .
[S02228] [NEUTRAL ]  The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .
[S02229] [NEUTRAL ]  The first quarter was as expected and was in line with analysts ' forecasts .
[S02230] [POSITIVE]  The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .
[S02231] [NEUTRAL ]  The German subsidiary will produce software development services for Ixonos Telecommunications Business Unit 's client projects .
[S02232] [NEUTRAL ]  The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .
[S02233] [NEUTRAL ]  The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .
[S02234] [NEUTRAL ]  The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports .
[S02235] [NEUTRAL ]  The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .
[S02236] [NEUTRAL ]  The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .
[S02237] [POSITIVE]  The group will expand the chain to include 45 stores .
[S02238] [NEUTRAL ]  The insurance division turned a EUR120m profit .
[S02239] [POSITIVE]  The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . '
[S02240] [POSITIVE]  The long-term contract is global .
[S02241] [POSITIVE]  The members of the management team will contribute to the adjustment measures with temporary salary cut of 5 % .
[S02242] [POSITIVE]  The offer represents a premium of 24 % over the stock 's closing price on Friday .
[S02243] [NEUTRAL ]  The opening of the portal is part of the expansion strategy of Alma Media 's Marketplaces business unit .
[S02244] [POSITIVE]  The recovery of demand that started toward the end of 2009 , continued in January-March 2010 .
[S02245] [POSITIVE]  The sale of the Healthcare Trade business supports Oriola-KD 's strategy to focus on Pharmaceutical Wholesale and Retail businesses .
[S02246] [POSITIVE]  The sale will lead to a pretax capital gain of EUR 22 million for the Finnish company in 2011 .
[S02247] [NEUTRAL ]  The segment has an annual revenue of approximately EUR400m , the company said .
[S02248] [POSITIVE]  The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .
[S02249] [NEUTRAL ]  The solvency capital ratio of both companies was 2.7 times the solvency limit .
[S02250] [POSITIVE]  Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .
[S02251] [POSITIVE]  These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .
[S02252] [POSITIVE]  This will bring cost savings of about EUR 3mn a year .
[S02253] [POSITIVE]  Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .
[S02254] [NEUTRAL ]  Under the agreement , Japrotek will deliver nine storage tanks in the volume range of 1,000 cu m to 3,000 cu m with included agitators .
[S02255] [POSITIVE]  Under the agreement , TietoEnator will provide Blyk with extended application and business process management services and an IT infrastructure .
[S02256] [NEUTRAL ]  Under the agreement Ponsse will provide forest machine maintenance services to Stora Enso 's Russian wood procurement operations .
[S02257] [POSITIVE]  Under the contract Cramo Sverige and its subcontractor Brinkab AB will provide all scaffolding installations at LKAB 's new pellets plant in Kiruna in northern Sweden .
[S02258] [NEUTRAL ]  Under the terms of this agreement Lextel Group has committed to an opening order of EUR3 .75 m for Benefon mobile units to be co-branded with Capitel for the China market .
[S02259] [NEUTRAL ]  Vacon 's office will support its customers in Brazil and South America .
[S02260] [POSITIVE]  We can capitalize on our experience from a number of similar bridge projects in the Nordic countries .
[S02261] [POSITIVE]  Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year .
[S02262] [NEUTRAL ]  With the second phase of the new Innova building , Tecnopolis presence in Jyvaskyla will increase to a total of approximately 62,000 floor square meters .
[S02263] [POSITIVE]  With this acquisition Panostaja Oyj further expands its business area specialising in digital printing .
[S02264] [NEUTRAL ]  - Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .
[S02265] [POSITIVE]  Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement .
[S02266] [POSITIVE]  `` Leipurin is a growing and rapidly internationalizing Group .
[S02267] [POSITIVE]  `` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . ''
[S02268] [POSITIVE]  `` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno .
[S02269] [POSITIVE]  `` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .
[S02270] [POSITIVE]  2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .
[S02271] [POSITIVE]  28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .
[S02272] [POSITIVE]  3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .
[S02273] [POSITIVE]  4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .
[S02274] [POSITIVE]  agreement with SHB 30 December 2009 - Finnish financial services group Aktia HEL : AKTAV has concluded a market making agreement with Svenska Handelsbanken STO : SHB A , or SHB , the two parties said today .
[S02275] [POSITIVE]  AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .
[S02276] [POSITIVE]  Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .
[S02277] [POSITIVE]  CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .
[S02278] [POSITIVE]  EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .
[S02279] [POSITIVE]  Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .
[S02280] [NEUTRAL ]  Finnish construction company Lemminkainen Oyj HEL : LEM1S said yesterday that it would build a plastic film extrusion plant for packaging materials supplier Ab Rani Plast Oy at Lemminkainen 's Kaluga industrial park in Russia .
[S02281] [POSITIVE]  Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .
[S02282] [POSITIVE]  Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .
[S02283] [POSITIVE]  Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006 .
[S02284] [POSITIVE]  Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .
[S02285] [POSITIVE]  Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .
[S02286] [NEUTRAL ]  Glaston also has efficiency measures in all other units .
[S02287] [POSITIVE]  Growth was strongest in F-Secure 's operator ISPs , mobile operators and cable operators business .
[S02288] [POSITIVE]  In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .
[S02289] [POSITIVE]  It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel .
[S02290] [POSITIVE]  Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint .
[S02291] [POSITIVE]  ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million
[POSITIVE]  ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU
[POSITIVE]  Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .
[S02292] [POSITIVE]  mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .
[S02293] [POSITIVE]  Net sales will , however , increase from 2005 .
[S02294] [NEUTRAL ]  Nokia will deliver a WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station to Indosat .
[S02295] [POSITIVE]  Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .
[S02296] [POSITIVE]  Order intake , on the other hand , is expected to be stronger than in 2007 .
[S02297] [POSITIVE]  Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .
[S02298] [POSITIVE]  Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .
[S02299] [POSITIVE]  Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .
[S02300] [POSITIVE]  Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .
[S02301] [POSITIVE]  Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .
[S02302] [POSITIVE]  Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .
[S02303] [POSITIVE]  Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .
[S02304] [POSITIVE]  Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .
[S02305] [POSITIVE]  Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .
[S02306] [POSITIVE]  The Bristol Port Company has sealed a one million pound contract with Cooper Specialised Handling to supply it with four 45-tonne , customised reach stackers from Konecranes .
[S02307] [POSITIVE]  The company expects net sales to significantly increase from 2009 .
[S02308] [POSITIVE]  The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .
[S02309] [POSITIVE]  The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .
[S02310] [NEUTRAL ]  The contract traded at an all-time high of $ 50,200 a ton on April 24 .
[S02311] [POSITIVE]  The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % .
[S02312] [POSITIVE]  The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 .
[S02313] [POSITIVE]  The fund at fair value will increase correspondingly .
[S02314] [NEUTRAL ]  The impact of this acquisition to Teleste 's net sales for 2010 is estimated to be approximately EUR 2 million .
[S02315] [NEUTRAL ]  The impact on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .
[S02316] [POSITIVE]  The optimization of the steel components heating process will reduce the energy consumption .
[S02317] [POSITIVE]  The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .
[S02318] [NEUTRAL ]  These savings will have full impact as of the beginning of 2007 .
[S02319] [POSITIVE]  This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .
[S02320] [POSITIVE]  This new partnership agreement represents a significant milestone for both parties .
[S02321] [POSITIVE]  Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .
[S02322] [NEUTRAL ]  Together , Yahoo and Nokia said they will continue to deliver Internet experiences that address the core needs of consumers , developers , operators and advertisers .
[S02323] [POSITIVE]  Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said .
[S02324] [POSITIVE]  Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .
[S02325] [NEUTRAL ]  - Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .
[S02326] [NEUTRAL ]  The forecast for 2012 is 3.3 % .
[S02327] [NEUTRAL ]  The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .
[S02328] [NEUTRAL ]  The company is listed on the Nordic Exchange in Helsinki .
[S02329] [NEUTRAL ]  Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .
[S02330] [NEUTRAL ]  It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .
[S02331] [NEUTRAL ]  28 January 2011 - Finnish technology center operator Technopolis Oyj (HEL : TPS1V)said today it will invest EUR22 .5 m in the construction of the second phase of an office facility in Tampere .
[S02332] [NEUTRAL ]  Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .
[S02333] [NEUTRAL ]  Finnish L&T Recoil , a company specialising in used oil regeneration , is building a facility in Hamina in Finland in 2008 .
[S02334] [NEUTRAL ]  The shops are located in the capital region and the Paijat-Hame region .
[S02335] [NEUTRAL ]  The carrier said its Area travel agency is to sell most of its outlets to sister chain Suomen Matkatoimisto (SMT)and use its remaining bricks-and-mortar presence to primarily target business customers going forward .
[S02336] [NEUTRAL ]  The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .
[S02337] [NEUTRAL ]  On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases .
[S02338] [NEUTRAL ]  Name of Company in which holdings have been acquired : Citycon Oyj 2 .
[S02339] [NEUTRAL ]  BasWare is headquartered in Espoo , Finland .
[S02340] [NEUTRAL ]  The store is located in Poznan in a shopping center named Pestka , the company added .
[S02341] [NEUTRAL ]  The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business .
[S02342] [NEUTRAL ]  According to the Act , universities can now acquire private funding .
[S02343] [NEUTRAL ]  Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .
[S02344] [NEGATIVE]  Asian traffic declined by 3.4 per cent .
[S02345] [NEUTRAL ]  Ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .
[S02346] [NEUTRAL ]  Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .
[S02347] [POSITIVE]  Consumer products manufacturer Fiskars Corp. will open a distribution and warehouse center in Southaven , creating 100 jobs .
[S02348] [NEUTRAL ]  According to latest information , Benefon will launch its Twig device on 20 September 2006 .
[S02349] [NEUTRAL ]  Atria will also buy the shares of Kauhajoen Teurastamokiinteistot Oy (Kauhajoki slaughterhouse property)from Itikka Co-operative .
[S02350] [NEUTRAL ]  The joint venture will invest about EUR 500,000 in production technology straight away .
[S02351] [NEUTRAL ]  He will report to CapMan Plc 's CEO Heikki Westerlund .
[S02352] [NEUTRAL ]  The price will be specified at the completion date .
[S02353] [NEUTRAL ]  A total of $ 78 million will be invested in the project .
[S02354] [NEUTRAL ]  Finnish IT consultancy Satama Interactive Oyj said on November 13 , 2006 that Jarmo Lonnfors took up the position of CEO .
[S02355] [NEUTRAL ]  H1 '08 H1 '07 Q2 '08 Q2 '07 in mln euro , unless otherwise stated Net sales 386 328.6 201 160.7 Operating profit 46.3 35.8 23.2 9.5 Pre-tax profit 33.6 26.9 18.7 5.1 Net profit 25.1 25.4 14 4.0 EPS in euro 2.20 2.36 1.24 0.38 1.0 euro = $ 1.60 www.componenta.com
[NEUTRAL ]  ` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .
[S02356] [NEUTRAL ]  `` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market .
[S02357] [NEUTRAL ]  `` There is no room to modify the share component as we have already indicated . ''
[S02358] [NEUTRAL ]  `` We could be there .
[S02359] [POSITIVE]  `` We were the lowest bidders and now the final approval is awaited . ''
[S02360] [NEUTRAL ]  1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext.
[S02361] 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .
[S02362] [NEUTRAL ]  128,538 shares can still be subscribed for with Series E share options , max .
[S02363] [NEUTRAL ]  15 November 2010 - Finnish energy company Fortum Oyj HEL : FUM1V said today it and partners started negotiations to establish a new operating model for energy supply in the Turku region of western Finland .
[S02364] [NEUTRAL ]  561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .
[S02365] [NEUTRAL ]  A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A.
[S02366] The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .
[S02367] [NEUTRAL ]  A meeting of Glisten shareholders to vote on the bid will be held on 12 March .
[S02368] [NEUTRAL ]  A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-£801-£6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .
[S02369] [NEUTRAL ]  A spokesman said : `` The food store center , subject to council and local support , could comprise a supermarket or smaller store and other niche outlets , and this will be firmed up following consultation with the council and local community regarding appropriate uses and occupiers . ''
[S02370] [NEUTRAL ]  A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch - HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .
[S02371] [NEUTRAL ]  A.
[S02372] Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .
[S02373] [NEUTRAL ]  About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .
[S02374] [NEUTRAL ]  About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other .
[S02375] [NEUTRAL ]  Absolut Bank is exploring the possibility of further borrowing .
[S02376] [NEUTRAL ]  Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .
[S02377] [POSITIVE]  Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+Ænsi-Kalkkuna to produce turkey meat .
[S02378] [NEUTRAL ]  Finnish food industry company L+Ænnen Tehtaat is planning changes to its fish product business .
[S02379] [NEGATIVE]  Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 .
[S02380] [NEUTRAL ]  Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors .
[S02381] [NEUTRAL ]  In Finland , Hamina Cargo Terminal , of Finnish Nurminen Logistics , has purchased a warehouse with ground lease rights in the Port of Hamina .
[S02382] [NEGATIVE]  In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .
[S02383] [NEUTRAL ]  Member of the HK Ruokatalo Group in Finland , Scan , is launching a joint venture slaughterhouse with Team Ugglarp in Sk+_ne , southern Sweden .
[S02384] [NEUTRAL ]  The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava .
[S02385] [NEGATIVE]  According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .
[S02386] [NEUTRAL ]  According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom .
[S02387] [NEUTRAL ]  According to CEO Hannu Syrj+Ænen , a new common name and visual identity is required as the group has grown and internationalised .
[S02388] [NEUTRAL ]  According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .
[S02389] [NEUTRAL ]  According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 .
[S02390] [NEUTRAL ]  According to Soosalu , particular attention was paid to residents privacy and security in the design of the Aleksandri Street building .
[S02391] [NEUTRAL ]  According to statistics by the Finnish Maritime Administration , shipping did not increase much in January-August 2009 , however .
[S02392] [NEUTRAL ]  According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .
[S02393] [NEUTRAL ]  According to the company , the lay-offs will be temporary .
[S02394] [NEUTRAL ]  According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .
[S02395] [NEUTRAL ]  According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla - s shares and voting rights .
[S02396] [NEUTRAL ]  According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % .
[S02397] [NEUTRAL ]  After that the two companies sat down and sewed up the present deal .
[S02398] [NEUTRAL ]  After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .
[S02399] [NEUTRAL ]  Ahlstrom 's 5,800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .
[S02400] [NEUTRAL ]  Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .
[S02401] [NEUTRAL ]  Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .
[S02402] [NEUTRAL ]  Airbus will attempt to evacuate up to 873 people within 90 seconds .
[S02403] [NEUTRAL ]  ALEXANDRIA , Va. , June 7 -- Michael G. Williams of Newbury Park , Calif. , has developed a network device .
[S02404] [NEUTRAL ]  All rights reserved .
[S02405] [NEUTRAL ]  All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 .
[S02406] [NEUTRAL ]  Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .
[S02407] [NEUTRAL ]  Almost the entire office building will be occupied by Metso .
[S02408] [NEUTRAL ]  Also , Westpac is to issue a benchmark , 18 month FRN deal in Euros .
[S02409] [NEUTRAL ]  Also the development of online businesses will continue .
[S02410] [NEUTRAL ]  Altimo previously agreed a similar deal with Telenor to merge their stakes in VimpelCom and Kyivstar-GSM .
[S02411] [NEUTRAL ]  As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .
[S02412] [NEUTRAL ]  As a result , a total of 82 employees would be given notice .
[S02413] [NEUTRAL ]  As a result of the transaction , Sanoma Budapest has acquired a stake in the online store Egeszsegbolt .
[S02414] [NEUTRAL ]  As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share .
[S02415] [NEGATIVE]  As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .
[S02416] [NEUTRAL ]  As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''
[S02417] [NEUTRAL ]  At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 .
[S02418] [NEUTRAL ]  at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .
[S02419] [NEUTRAL ]  At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % .
[S02420] [NEUTRAL ]  At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .
[S02421] [NEUTRAL ]  Autotank Group is part of Aspo 's Systems Division .
[S02422] [NEUTRAL ]  Basware Einvoices Oy will be merged into the parent company during the present fiscal period .
[S02423] [NEUTRAL ]  Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .
[S02424] [NEUTRAL ]  Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .
[S02425] [NEGATIVE]  Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .
[S02426] [NEUTRAL ]  Besides , Pit-Produkt will enter the new segments .
[S02427] [NEUTRAL ]  Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .
[S02428] [NEUTRAL ]  CapMan made its initial investment in OneMed in June 2006 .
[S02429] [NEUTRAL ]  CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .
[S02430] [NEUTRAL ]  Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .
[S02431] [NEUTRAL ]  Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .
