========================================================================
VOCABULARY OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total tokens (running words) : 97,302
Raw vocabulary (types)       : 8,686
Lemma vocabulary (types)     : 7,292
Type–Token Ratio (TTR)       : 0.0893
Reduction after lemmatisation: 1,394 forms

────────────────────────────────────────────────────────────────────────
VOCABULARY — FREQUENCY RANKED (raw tokens)
────────────────────────────────────────────────────────────────────────
Rank  Word                             Count   Cumul.%
4593  workforse                            1    95.79%
4594  krook                                1    95.79%
4595  geographically                       1    95.80%
4596  adopted                              1    95.80%
4597  abu                                  1    95.80%
4598  dhabi                                1    95.80%
4599  mono                                 1    95.80%
4600  babcock                              1    95.80%
4601  silvennoinen                         1    95.80%
4602  sausages                             1    95.80%
4603  tastes                               1    95.80%
4604  grill                                1    95.80%
4605  shish                                1    95.81%
4606  kebabs                               1    95.81%
4607  paavel                               1    95.81%
4608  andrew                               1    95.81%
4609  relacom                              1    95.81%
4610  eloholma                             1    95.81%
4611  contempus                            1    95.81%
4612  zloty                                1    95.81%
4613  preceding                            1    95.81%
4614  retailing                            1    95.82%
4615  honkajoki                            1    95.82%
4616  findest                              1    95.82%
4617  protein                              1    95.82%
4618  porvoo                               1    95.82%
4619  pharma                               1    95.82%
4620  guided                               1    95.82%
4621  tankers                              1    95.82%
4622  suunto                               1    95.82%
4623  representation                       1    95.82%
4624  ruselprom                            1    95.83%
4625  cto                                  1    95.83%
4626  esko                                 1    95.83%
4627  myllyla                              1    95.83%
4628  satlan                               1    95.83%
4629  broadcasters                         1    95.83%
4630  iptv                                 1    95.83%
4631  firstquarter                         1    95.83%
4632  magnus                               1    95.83%
4633  allonen                              1    95.83%
4634  pointing                             1    95.84%
4635  overlapping                          1    95.84%
4636  lifestyle                            1    95.84%
4637  nanjing                              1    95.84%
4638  mynet                                1    95.84%
4639  mongolia                             1    95.84%
4640  hydrocopper                          1    95.84%
4641  standing                             1    95.84%
4642  postel                               1    95.84%
4643  waters                               1    95.84%
4644  markedly                             1    95.85%
4645  entreprenor                          1    95.85%
4646  trent                                1    95.85%
4647  intensifying                         1    95.85%
4648  gustav                               1    95.85%
4649  occupancy                            1    95.85%
4650  specifying                           1    95.85%
4651  activeness                           1    95.85%
4652  xerox                                1    95.85%
4653  teamed                               1    95.86%
4654  tailor                               1    95.86%
4655  skandinaviska                        1    95.86%
4656  enskilda                             1    95.86%
4657  banken                               1    95.86%
4658  fulfilled                            1    95.86%
4659  maihaniemi                           1    95.86%
4660  zte                                  1    95.86%
4661  bookrunners                          1    95.86%
4662  twofold                              1    95.86%
4663  zahariev                             1    95.87%
4664  tosno                                1    95.87%
4665  jm                                   1    95.87%
4666  apparent                             1    95.87%
4667  observes                             1    95.87%
4668  perttu                               1    95.87%
4669  puro                                 1    95.87%
4670  tradeka                              1    95.87%
4671  cathode                              1    95.87%
4672  collects                             1    95.87%
4673  rvr                                  1    95.88%
4674  tinyurl                              1    95.88%
4675  scamming                             1    95.88%
4676  earn                                 1    95.88%
4677  goog                                 1    95.88%
4678  advertiser                           1    95.88%
4679  salmi                                1    95.88%
4680  hanna                                1    95.88%
4681  vuolteenaho                          1    95.88%
4682  viitasaari                           1    95.88%
4683  markka                               1    95.89%
4684  oksanen                              1    95.89%
4685  harald                               1    95.89%
4686  kaaja                                1    95.89%
4687  salokannel                           1    95.89%
4688  kangasala                            1    95.89%
4689  palin                                1    95.89%
4690  viiala                               1    95.89%
4691  mline                                1    95.89%
4692  underwent                            1    95.90%
4693  dinmukhamet                          1    95.90%
4694  idrisov                              1    95.90%
4695  tiled                                1    95.90%
4696  stoves                               1    95.90%
4697  absorption                           1    95.90%
4698  sunnuntai                            1    95.90%
4699  carlshamn                            1    95.90%
4700  mejeri                               1    95.90%
4701  commerzbank                          1    95.90%
4702  hamburg                              1    95.91%
4703  arrangers                            1    95.91%
4704  ams                                  1    95.91%
4705  inga                                 1    95.91%
4706  stretches                            1    95.91%
4707  vladivostok                          1    95.91%
4708  deutschland                          1    95.91%
4709  lubricants                           1    95.91%
4710  ils                                  1    95.91%
4711  milan                                1    95.91%
4712  pop                                  1    95.92%
4713  imap                                 1    95.92%
4714  jydsk                                1    95.92%
4715  materiel                             1    95.92%
4716  udlejning                            1    95.92%
4717  jutland                              1    95.92%
4718  takoma                               1    95.92%
4719  moventas                             1    95.92%
4720  hung                                 1    95.92%
4721  finalize                             1    95.93%
4722  fenestra                             1    95.93%
4723  locator                              1    95.93%
4724  fortuna                              1    95.93%
4725  everything                           1    95.93%
4726  sick                                 1    95.93%
4727  maihak                               1    95.93%
4728  reliance                             1    95.93%
4729  upcoming                             1    95.93%
4730  jamnagar                             1    95.93%
4731  updating                             1    95.94%
4732  mikshis                              1    95.94%
4733  residentialconstruction              1    95.94%
4734  aspects                              1    95.94%
4735  kahonen                              1    95.94%
4736  juuka                                1    95.94%
4737  pit                                  1    95.94%
4738  kenneth                              1    95.94%
4739  bower                                1    95.94%
4740  vista                                1    95.94%
4741  schools                              1    95.95%
4742  nurseries                            1    95.95%
4743  switchboard                          1    95.95%
4744  directory                            1    95.95%
4745  ticaret                              1    95.95%
4746  sanayi                               1    95.95%
4747  wrapped                              1    95.95%
4748  manipulator                          1    95.95%
4749  acs                                  1    95.95%
4750  knight                               1    95.95%
4751  wrapping                             1    95.96%
4752  walki                                1    95.96%
4753  wisa                                 1    95.96%
4754  mmh                                  1    95.96%
4755  morris                               1    95.96%
4756  widen                                1    95.96%
4757  jacobs                               1    95.96%
4758  plug                                 1    95.96%
4759  pipelines                            1    95.96%
4760  halt                                 1    95.97%
4761  krakeroy                             1    95.97%
4762  bascule                              1    95.97%
4763  piles                                1    95.97%
4764  foundations                          1    95.97%
4765  lukkoexpert                          1    95.97%
4766  kimmo                                1    95.97%
4767  uusimaki                             1    95.97%
4768  wig                                  1    95.97%
4769  session                              1    95.97%
4770  distributors                         1    95.98%
4771  namibia                              1    95.98%
4772  walvis                               1    95.98%
4773  doubling                             1    95.98%
4774  irrevocable                          1    95.98%
4775  gorelovo                             1    95.98%
4776  tielinja                             1    95.98%
4777  woodlock                             1    95.98%
4778  restraining                          1    95.98%
4779  miniature                            1    95.98%
4780  gogol                                1    95.99%
4781  crossing                             1    95.99%
4782  vnh                                  1    95.99%
4783  ford                                 1    95.99%
4784  slowing                              1    95.99%
4785  surfeit                              1    95.99%
4786  ta                                   1    95.99%
4787  rautakesko                           1    95.99%
4788  impacting                            1    95.99%
4789  peer                                 1    95.99%
4790  peugeot                              1    96.00%
4791  significance                         1    96.00%
4792  emphasised                           1    96.00%
4793  usko                                 1    96.00%
4794  maatta                               1    96.00%
4795  motorcyclist                         1    96.00%
4796  motorcyclists                        1    96.00%
4797  capacitors                           1    96.00%
4798  noon                                 1    96.00%
4799  withviking                           1    96.01%
4800  broadsheet                           1    96.01%
4801  tabloid                              1    96.01%
4802  kazgiprotsvetmet                     1    96.01%
4803  africaand                            1    96.01%
4804  appointment                          1    96.01%
4805  virkkala                             1    96.01%
4806  guinea                               1    96.01%
4807  pfizer                               1    96.01%
4808  phosphodiesterase                    1    96.01%
4809  inhibitor                            1    96.02%
4810  discovered                           1    96.02%
4811  compounds                            1    96.02%
4812  exceed                               1    96.02%
4813  prove                                1    96.02%
4814  rod                                  1    96.02%
4815  baber                                1    96.02%
4816  climber                              1    96.02%
4817  reino                                1    96.02%
4818  tammela                              1    96.02%
4819  glassfiber                           1    96.03%
4820  reinforcement                        1    96.03%
4821  tomi                                 1    96.03%
4822  laamanen                             1    96.03%
4823  patrizia                             1    96.03%
4824  lgl                                  1    96.03%
4825  bolster                              1    96.03%
4826  kallioranta                          1    96.03%
4827  cooperationand                       1    96.03%
4828  tied                                 1    96.04%
4829  ourmachinery                         1    96.04%
4830  theodosopoulos                       1    96.04%
4831  tellabs                              1    96.04%
4832  nortel                               1    96.04%
4833  christopher                          1    96.04%
4834  wynne                                1    96.04%
4835  papa                                 1    96.04%
4836  accelerated                          1    96.04%
4837  concentrator                         1    96.04%
4838  siilinjarvi                          1    96.05%
4839  minera                               1    96.05%
4840  kasak                                1    96.05%
4841  balti                                1    96.05%
4842  metsamasina                          1    96.05%
4843  wishes                               1    96.05%
4844  participates                         1    96.05%
4845  getinge                              1    96.05%
4846  heights                              1    96.05%
4847  ephc                                 1    96.05%
4848  rtg                                  1    96.06%
4849  saigon                               1    96.06%
4850  newport                              1    96.06%
4851  snp                                  1    96.06%
4852  bilfinger                            1    96.06%
4853  cheered                              1    96.06%
4854  pushing                              1    96.06%
4855  pursues                              1    96.06%
4856  hutchison                            1    96.06%
4857  essar                                1    96.06%
4858  ise                                  1    96.07%
4859  kolkata                              1    96.07%
4860  weighted                             1    96.07%
4861  selects                              1    96.07%
4862  transplace                           1    96.07%
4863  eijkens                              1    96.07%
4864  colourful                            1    96.07%
4865  individualising                      1    96.07%
4866  feedback                             1    96.07%
4867  rpm                                  1    96.08%
4868  enterprises                          1    96.08%
4869  forums                               1    96.08%
4870  upfront                              1    96.08%
4871  testament                            1    96.08%
4872  heritage                             1    96.08%
4873  elektros                             1    96.08%
4874  pavara                               1    96.08%
4875  aaron                                1    96.08%
4876  moss                                 1    96.08%
4877  repair                               1    96.09%
4878  sphere                               1    96.09%
4879  vuokatti                             1    96.09%
4880  prototypes                           1    96.09%
4881  digitalize                           1    96.09%
4882  agj                                  1    96.09%
4883  errors                               1    96.09%
4884  reorganisations                      1    96.09%
4885  airvana                              1    96.09%
4886  umts                                 1    96.09%
4887  femto                                1    96.10%
4888  accelerate                           1    96.10%
4889  provision                            1    96.10%
4890  lure                                 1    96.10%
4891  greenhouse                           1    96.10%
4892  provisions                           1    96.10%
4893  normative                            1    96.10%
4894  functioning                          1    96.10%
4895  bore                                 1    96.10%
4896  rettig                               1    96.10%
4897  rotterdam                            1    96.11%
4898  naming                               1    96.11%
4899  technip                              1    96.11%
4900  apr                                  1    96.11%
4901  peri                                 1    96.11%
4902  inventories                          1    96.11%
4903  declining                            1    96.11%
4904  sehk                                 1    96.11%
4905  chl                                  1    96.11%
4906  thegps                               1    96.12%
4907  olympic                              1    96.12%
4908  thelatest                            1    96.12%
4909  seitovirta                           1    96.12%
4910  westend                              1    96.12%
4911  resolutions                          1    96.12%
4912  tallinna                             1    96.12%
4913  sadam                                1    96.12%
4914  pnaas                                1    96.12%
4915  pnabs                                1    96.12%
4916  kospa                                1    96.13%
4917  redevelopment                        1    96.13%
4918  refinancing                          1    96.13%
4919  ores                                 1    96.13%
4920  streak                               1    96.13%
4921  geenrated                            1    96.13%
4922  optimisation                         1    96.13%
4923  petri                                1    96.13%
4924  ailus                                1    96.13%
4925  isto                                 1    96.13%
4926  hantila                              1    96.14%
4927  bavarian                             1    96.14%
4928  paying                               1    96.14%
4929  painful                              1    96.14%
4930  valio                                1    96.14%
4931  worried                              1    96.14%
4932  geographies                          1    96.14%
4933  ebita                                1    96.14%
4934  tapro                                1    96.14%
4935  rentakran                            1    96.14%
4936  mattila                              1    96.15%
4937  assessing                            1    96.15%
4938  oems                                 1    96.15%
4939  winnings                             1    96.15%
4940  bypasses                             1    96.15%
4941  kotka                                1    96.15%
4942  stabilise                            1    96.15%
4943  eklund                               1    96.15%
4944  annualised                           1    96.15%
4945  karputer                             1    96.16%
4946  satellite                            1    96.16%
4947  domain                               1    96.16%
4948  asm                                  1    96.16%
4949  winning                              1    96.16%
4950  brisk                                1    96.16%
4951  noncore                              1    96.16%
4952  sparks                               1    96.16%
4953  atec                                 1    96.16%
4954  baseball                             1    96.16%
4955  softball                             1    96.17%
4956  pitching                             1    96.17%
4957  espoon                               1    96.17%
4958  kaupunki                             1    96.17%
4959  cogeneration                         1    96.17%
4960  supervise                            1    96.17%
4961  brisker                              1    96.17%
4962  rough                                1    96.17%
4963  terrain                              1    96.17%
4964  handler                              1    96.17%
4965  rtch                                 1    96.18%
4966  inkinen                              1    96.18%
4967  standardised                         1    96.18%
4968  itella                               1    96.18%
4969  bergvik                              1    96.18%
4970  earns                                1    96.18%
4971  appreciation                         1    96.18%
4972  thanksto                             1    96.18%
4973  theutilization                       1    96.18%
4974  substantiallyimproved                1    96.19%
4975  chrome                               1    96.19%
4976  steady                               1    96.19%
4977  supplemented                         1    96.19%
4978  rebuilds                             1    96.19%
4979  normalises                           1    96.19%
4980  repeat                               1    96.19%
4981  bookings                             1    96.19%
4982  tuomainen                            1    96.19%
4983  miner                                1    96.19%
4984  naur                                 1    96.20%
4985  nau                                  1    96.20%
4986  institution                          1    96.20%
4987  recipient                            1    96.20%
4988  tendering                            1    96.20%
4989  conditioning                         1    96.20%
4990  volvo                                1    96.20%
4991  sfi                                  1    96.20%
4992  uncoated                             1    96.20%
4993  mcc                                  1    96.20%
4994  yinhe                                1    96.21%
4995  tikkakoski                           1    96.21%
4996  resettlement                         1    96.21%
4997  rooms                                1    96.21%
4998  sarkamies                            1    96.21%
4999  ringman                              1    96.21%
5000  schmardin                            1    96.21%
5001  vahur                                1    96.21%
5002  cooperating                          1    96.21%
5003  adanac                               1    96.21%
5004  arvo                                 1    96.22%
5005  vuorenmaa                            1    96.22%
5006  cision                               1    96.22%
5007  mandate                              1    96.22%
5008  orascom                              1    96.22%
5009  oth                                  1    96.22%
5010  poy                                  1    96.22%
5011  tanqia                               1    96.22%
5012  fzc                                  1    96.22%
5013  emirate                              1    96.23%
5014  fujairah                             1    96.23%
5015  shipowner                            1    96.23%
5016  grieg                                1    96.23%
5017  partihallsforbindelsen               1    96.23%
5018  entry                                1    96.23%
5019  forestries                           1    96.23%
5020  fruit                                1    96.23%
5021  pink                                 1    96.23%
5022  pojlf                                1    96.23%
5023  swift                                1    96.24%
5024  hearst                               1    96.24%
5025  consolidate                          1    96.24%
5026  uutiset                              1    96.24%
5027  vantaan                              1    96.24%
5028  lansivayla                           1    96.24%
5029  jaemsaenkoski                        1    96.24%
5030  measurements                         1    96.24%
5031  simdax                               1    96.24%
5032  authorisations                       1    96.24%
5033  submitted                            1    96.25%
5034  outperform                           1    96.25%
5035  establishing                         1    96.25%
5036  viisas                               1    96.25%
5037  raha                                 1    96.25%
5038  wise                                 1    96.25%
5039  ambulance                            1    96.25%
5040  ayanambakkam                         1    96.25%
5041  suburb                               1    96.25%
5042  venezuel                             1    96.25%
5043  te                                   1    96.26%
5044  fr                                   1    96.26%
5045  dct                                  1    96.26%
5046  tissue                               1    96.26%
5047  fundamentals                         1    96.26%
5048  prosition                            1    96.26%
5049  education                            1    96.26%
5050  ilim                                 1    96.26%
5051  bratsk                               1    96.26%
5052  dok                                  1    96.27%
5053  evident                              1    96.27%
5054  savon                                1    96.27%
5055  koulutuskuntayhtyma                  1    96.27%
5056  dominated                            1    96.27%
5057  speaking                             1    96.27%
5058  performed                            1    96.27%
5059  namely                               1    96.27%
5060  prolonged                            1    96.27%
5061  topped                               1    96.27%
5062  amending                             1    96.28%
5063  simplifies                           1    96.28%
5064  australian                           1    96.28%
5065  sulfide                              1    96.28%
5066  palfinger                            1    96.28%
5067  reinforce                            1    96.28%
5068  mechanise                            1    96.28%
5069  plantations                          1    96.28%
5070  oborniki                             1    96.28%
5071  sandwich                             1    96.28%
5072  mountain                             1    96.29%
5073  climbers                             1    96.29%
5074  surf                                 1    96.29%
5075  ethibel                              1    96.29%
5076  innovest                             1    96.29%
5077  corporations                         1    96.29%
5078  stabilisation                        1    96.29%
5079  compensated                          1    96.29%
5080  reserve                              1    96.29%
5081  traditions                           1    96.30%
5082  uh                                   1    96.30%
5083  functionalities                      1    96.30%
5084  rifd                                 1    96.30%
5085  saarinen                             1    96.30%
5086  supervisor                           1    96.30%
5087  seemed                               1    96.30%
5088  tommi                                1    96.30%
5089  leskinen                             1    96.30%
5090  reservation                          1    96.30%
5091  validating                           1    96.31%
5092  fgvoip                               1    96.31%
5093  accomplishing                        1    96.31%
5094  manturovo                            1    96.31%
5095  northeast                            1    96.31%
5096  gartner                              1    96.31%
5097  underperform                         1    96.31%
5098  dictated                             1    96.31%
5099  adjacent                             1    96.31%
5100  solel                                1    96.31%
5101  reflectors                           1    96.32%
5102  feeling                              1    96.32%
5103  psv                                  1    96.32%
5104  eidesvik                             1    96.32%
5105  eiof                                 1    96.32%
5106  finlan                               1    96.32%
5107  heathrow                             1    96.32%
5108  osaka                                1    96.32%
5109  loader                               1    96.32%
5110  bae                                  1    96.32%
5111  roaster                              1    96.33%
5112  ozk                                  1    96.33%
5113  kardzhali                            1    96.33%
5114  restarts                             1    96.33%
5115  reels                                1    96.33%
5116  rods                                 1    96.33%
5117  stadtverwaltung                      1    96.33%
5118  mainz                                1    96.33%
5119  chassis                              1    96.33%
5120  fi                                   1    96.34%
5121  keyword                              1    96.34%
5122  maingate                             1    96.34%
5123  arranging                            1    96.34%
5124  cup                                  1    96.34%
5125  skiing                               1    96.34%
5126  competitions                         1    96.34%
5127  lankapaja                            1    96.34%
5128  kivimeister                          1    96.34%
5129  deer                                 1    96.34%
5130  timberjack                           1    96.35%
5131  er                                   1    96.35%
5132  expressed                            1    96.35%
5133  kemijoki                             1    96.35%
5134  river                                1    96.35%
5135  beating                              1    96.35%
5136  materialise                          1    96.35%
5137  multiplying                          1    96.35%
5138  malkia                               1    96.35%
5139  borrower                             1    96.35%
5140  roadshow                             1    96.36%
5141  negotiated                           1    96.36%
5142  regard                               1    96.36%
5143  secretary                            1    96.36%
5144  mexican                              1    96.36%
5145  sintra                               1    96.36%
5146  suburban                             1    96.36%
5147  negotiate                            1    96.36%
5148  definitive                           1    96.36%
5149  rationalization                      1    96.36%
5150  seeks                                1    96.37%
5151  reasonably                           1    96.37%
5152  lays                                 1    96.37%
5153  kaupunkin                            1    96.37%
5154  talotekniikka                        1    96.37%
5155  moderate                             1    96.37%
5156  cvd                                  1    96.37%
5157  spite                                1    96.37%
5158  israeli                              1    96.37%
5159  fttx                                 1    96.38%
5160  divests                              1    96.38%
5161  rumilly                              1    96.38%
5162  mergers                              1    96.38%
5163  authorise                            1    96.38%
5164  maintained                           1    96.38%
5165  thames                               1    96.38%
5166  gateway                              1    96.38%
5167  scheduling                           1    96.38%
5168  storm                                1    96.38%
5169  fox                                  1    96.39%
5170  luhr                                 1    96.39%
5171  williamson                           1    96.39%
5172  marttiini                            1    96.39%
5173  sufix                                1    96.39%
5174  lulu                                 1    96.39%
5175  joyfully                             1    96.39%
5176  vitamin                              1    96.39%
5177  margareta                            1    96.39%
5178  bosch                                1    96.39%
5179  karttakeskus                         1    96.40%
5180  adr                                  1    96.40%
5181  maruy                                1    96.40%
5182  forecasting                          1    96.40%
5183  pietinalho                           1    96.40%
5184  motivate                             1    96.40%
5185  smoke                                1    96.40%
5186  ultrascan                            1    96.40%
5187  crackers                             1    96.40%
5188  password                             1    96.41%
5189  addus                                1    96.41%
5190  assistance                           1    96.41%
5191  skilled                              1    96.41%
5192  nursing                              1    96.41%
5193  rehabilitative                       1    96.41%
5194  adult                                1    96.41%
5195  subjects                             1    96.41%
5196  mildly                               1    96.41%
5197  elevated                             1    96.41%
5198  intervention                         1    96.42%
5199  capped                               1    96.42%
5200  achievement                          1    96.42%
5201  ryymin                               1    96.42%
5202  kaisanlahti                          1    96.42%
5203  welfare                              1    96.42%
5204  haavisto                             1    96.42%
5205  army                                 1    96.42%
5206  unify                                1    96.42%
5207  cablevision                          1    96.42%
5208  cvc                                  1    96.43%
5209  knickerbockers                       1    96.43%
5210  rangers                              1    96.43%
5211  liberty                              1    96.43%
5212  women                                1    96.43%
5213  hartford                             1    96.43%
5214  wolf                                 1    96.43%
5215  ruuska                               1    96.43%
5216  exchanges                            1    96.43%
5217  reopen                               1    96.43%
5218  wisconsin                            1    96.44%
5219  alabama                              1    96.44%
5220  illinois                             1    96.44%
5221  indiana                              1    96.44%
5222  kentucky                             1    96.44%
5223  halonen                              1    96.44%
5224  receiving                            1    96.44%
5225  entering                             1    96.44%
5226  passed                               1    96.44%
5227  delta                                1    96.45%
5228  shielding                            1    96.45%
5229  movable                              1    96.45%
5230  relation                             1    96.45%
5231  span                                 1    96.45%
5232  hospitality                          1    96.45%
5233  portfolios                           1    96.45%
5234  restructurings                       1    96.45%
5235  recovers                             1    96.45%
5236  valuable                             1    96.45%
5237  phonebook                            1    96.46%
5238  kouvola                              1    96.46%
5239  succeeds                             1    96.46%
5240  honolulu                             1    96.46%
5241  diego                                1    96.46%
5242  phoenix                              1    96.46%
5243  mayawas                              1    96.46%
5244  ufa                                  1    96.46%
5245  fremantlemedia                       1    96.46%
5246  advertised                           1    96.46%
5247  metrics                              1    96.47%
5248  scorecard                            1    96.47%
5249  configuration                        1    96.47%
5250  rannikkoseutu                        1    96.47%
5251  saavalainen                          1    96.47%
5252  gibtelecom                           1    96.47%
5253  illustration                         1    96.47%
5254  facing                               1    96.47%
5255  everyday                             1    96.47%
5256  flooring                             1    96.47%
5257  tapes                                1    96.48%
5258  bicycle                              1    96.48%
5259  mm                                   1    96.48%
5260  kitai                                1    96.48%
5261  stroi                                1    96.48%
5262  mnc                                  1    96.48%
5263  sought                               1    96.48%
5264  topic                                1    96.48%
5265  spark                                1    96.48%
5266  creativity                           1    96.49%
5267  pricier                              1    96.49%
5268  arabized                             1    96.49%
5269  kuzaj                                1    96.49%
5270  sanna                                1    96.49%
5271  paivaniemi                           1    96.49%
5272  talvik                               1    96.49%
5273  strelny                              1    96.49%
5274  suburbs                              1    96.49%
5275  suggest                              1    96.49%
5276  preferably                           1    96.50%
5277  appliance                            1    96.50%
5278  minimize                             1    96.50%
5279  ensuring                             1    96.50%
5280  beneath                              1    96.50%
5281  saimaa                               1    96.50%
5282  undisturbed                          1    96.50%
5283  governed                             1    96.50%
5284  laws                                 1    96.50%
5285  admits                               1    96.50%
5286  finncomm                             1    96.51%
5287  embarked                             1    96.51%
5288  theft                                1    96.51%
5289  bylander                             1    96.51%
5290  johan                                1    96.51%
5291  ponten                               1    96.51%
5292  fredrik                              1    96.51%
5293  lundberg                             1    96.51%
5294  jorgen                               1    96.51%
5295  mukkavilli                           1    96.51%
5296  krishna                              1    96.52%
5297  kiran                                1    96.52%
5298  sabharwal                            1    96.52%
5299  ashutosh                             1    96.52%
5300  aazhang                              1    96.52%
5301  behnaam                              1    96.52%
5302  ridge                                1    96.52%
5303  justin                               1    96.52%
5304  bao                                  1    96.52%
5305  yiliang                              1    96.53%
5306  karczewicz                           1    96.53%
5307  marta                                1    96.53%
5308  moves                                1    96.53%
5309  biographies                          1    96.53%
5310  rewards                              1    96.53%
5311  earning                              1    96.53%
5312  html                                 1    96.53%
5313  electronically                       1    96.53%
5314  confirmations                        1    96.53%
5315  upload                               1    96.54%
5316  catalogues                           1    96.54%
5317  nsr                                  1    96.54%
5318  royalties                            1    96.54%
5319  viscaria                             1    96.54%
5320  adak                                 1    96.54%
5321  avalon                               1    96.54%
5322  avi                                  1    96.54%
5323  exceeds                              1    96.54%
5324  voicemail                            1    96.54%
5325  housed                               1    96.55%
5326  rosberg                              1    96.55%
5327  inspires                             1    96.55%
5328  lietuvos                             1    96.55%
5329  respublikos                          1    96.55%
5330  sveikatos                            1    96.55%
5331  apsaugos                             1    96.55%
5332  ministerija                          1    96.55%
5333  uab                                  1    96.55%
5334  pty                                  1    96.56%
5335  renison                              1    96.56%
5336  mines                                1    96.56%
5337  nl                                   1    96.56%
5338  raffles                              1    96.56%
5339  equities                             1    96.56%
5340  archer                               1    96.56%
5341  signifies                            1    96.56%
5342  respect                              1    96.56%
5343  alike                                1    96.56%
5344  practices                            1    96.57%
5345  quantity                             1    96.57%
5346  sneed                                1    96.57%
5347  automatic                            1    96.57%
5348  varnishing                           1    96.57%
5349  jozef                                1    96.57%
5350  misurec                              1    96.57%
5351  child                                1    96.57%
5352  resolve                              1    96.57%
5353  identified                           1    96.57%
5354  info                                 1    96.58%
5355  motlanthe                            1    96.58%
5356  seoul                                1    96.58%
5357  hspa                                 1    96.58%
5358  hormone                              1    96.58%
5359  travellers                           1    96.58%
5360  kultalonkero                         1    96.58%
5361  carl                                 1    96.58%
5362  froh                                 1    96.58%
5363  arques                               1    96.58%
5364  wallenberg                           1    96.59%
5365  arokarhu                             1    96.59%
5366  scanned                              1    96.59%
5367  disappeared                          1    96.59%
5368  pressed                              1    96.59%
5369  hackers                              1    96.59%
5370  viruses                              1    96.59%
5371  spyware                              1    96.59%
5372  committees                           1    96.59%
5373  replaces                             1    96.60%
5374  parchment                            1    96.60%
5375  vataja                               1    96.60%
5376  virve                                1    96.60%
5377  inget                                1    96.60%
5378  weight                               1    96.60%
5379  chambers                             1    96.60%
5380  pressurized                          1    96.60%
5381  archived                             1    96.60%
5382  cerner                               1    96.60%
5383  netanttila                           1    96.61%
5384  visited                              1    96.61%
5385  shopped                              1    96.61%
5386  ergo                                 1    96.61%
5387  campomos                             1    96.61%
5388  matches                              1    96.61%
5389  ad                                   1    96.61%
5390  castecka                             1    96.61%
5391  partnerships                         1    96.61%
5392  irrevocably                          1    96.61%
5393  jim                                  1    96.62%
5394  heindlmeyer                          1    96.62%
5395  oblivion                             1    96.62%
5396  recording                            1    96.62%
5397  chs                                  1    96.62%
5398  friman                               1    96.62%
5399  diligence                            1    96.62%
5400  heir                                 1    96.62%
5401  crucially                            1    96.62%
5402  etsi                                 1    96.62%
5403  telecommunication                    1    96.63%
5404  backed                               1    96.63%
5405  opting                               1    96.63%
5406  vie                                  1    96.63%
5407  fortune                              1    96.63%
5408  nord                                 1    96.63%
5409  pietiek                              1    96.63%
5410  donate                               1    96.63%
5411  highlight                            1    96.63%
